diet_type,food_health_preference,taste_preference,preferred_cuisine,allergies,budget_range,location,digestion_preference,user_age,current_weather,meal_time,calorie_preference,suggested_dish
vegan,balanced,umami,Indian,dairy,low,urban,moderate,16,humid,dinner,low,Mixed Veg Bowl
vegan,low fat,spicy,Chinese,gluten,high,urban,easy,30,hot,breakfast,high,Mixed Veg Bowl
vegan,high protein,sweet,Italian,dairy,low,urban,moderate,13,cold,lunch,low,Mixed Veg Bowl
vegetarian,low carb,spicy,Chinese,soy,low,rural,moderate,56,humid,breakfast,low,Mixed Veg Bowl
vegan,high protein,umami,Chinese,none,medium,urban,heavy,32,humid,dinner,moderate,Mixed Veg Bowl
vegetarian,low carb,salty,Italian,dairy,high,suburban,heavy,50,cold,lunch,moderate,Mixed Veg Bowl
vegetarian,high protein,spicy,Mexican,gluten,medium,urban,heavy,39,humid,lunch,moderate,Spicy Bean Enchiladas
vegan,low carb,umami,Thai,none,low,rural,easy,59,rainy,breakfast,high,Mixed Veg Bowl
vegan,high protein,spicy,Mexican,dairy,high,suburban,moderate,25,hot,dinner,high,Mixed Veg Bowl
vegetarian,low fat,umami,Mexican,none,low,urban,easy,57,hot,lunch,low,Mixed Veg Bowl
non-vegetarian,balanced,umami,Mexican,none,medium,suburban,heavy,35,humid,breakfast,moderate,Mixed Veg Bowl
vegan,balanced,salty,Thai,gluten,low,rural,easy,39,hot,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,balanced,umami,Italian,none,high,rural,easy,16,hot,breakfast,high,Mixed Veg Bowl
vegetarian,low fat,salty,Chinese,none,low,rural,moderate,30,sunny,dinner,low,Soy Sauce Noodles
vegan,low carb,umami,Indian,gluten,high,rural,easy,61,hot,lunch,low,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Chinese,none,low,rural,moderate,37,cold,lunch,low,Mixed Veg Bowl
non-vegetarian,high protein,salty,Italian,nuts,low,suburban,moderate,14,humid,dinner,low,Seafood Risotto
vegetarian,low carb,savory,Mexican,gluten,medium,rural,easy,65,hot,breakfast,high,Mixed Veg Bowl
vegetarian,high protein,salty,Chinese,dairy,high,urban,easy,68,rainy,breakfast,moderate,Cabbage Stir Fry
non-vegetarian,low carb,savory,Chinese,dairy,medium,rural,easy,24,rainy,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Chinese,soy,high,urban,heavy,23,rainy,dinner,low,Mixed Veg Bowl
non-vegetarian,low carb,salty,Thai,dairy,low,rural,easy,61,humid,breakfast,low,Shrimp Satay
vegan,low fat,spicy,Indian,gluten,low,urban,easy,55,sunny,lunch,low,Chana Masala
non-vegetarian,low carb,savory,Thai,dairy,medium,rural,easy,37,cold,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Chinese,soy,medium,urban,moderate,17,rainy,lunch,high,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Chinese,dairy,low,rural,moderate,48,hot,breakfast,high,Mixed Veg Bowl
non-vegetarian,balanced,spicy,Italian,none,medium,suburban,easy,15,rainy,dinner,moderate,Mixed Veg Bowl
vegan,low fat,savory,Indian,none,medium,suburban,heavy,15,humid,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Italian,nuts,medium,rural,moderate,67,humid,breakfast,high,Mixed Veg Bowl
vegetarian,low carb,sweet,Mexican,nuts,medium,rural,moderate,37,cold,dinner,moderate,Choco Tacos
vegan,balanced,sweet,Italian,soy,medium,rural,heavy,49,rainy,dinner,high,Mixed Veg Bowl
vegan,balanced,salty,Chinese,gluten,low,suburban,moderate,35,cold,dinner,high,Garlic Bok Choy
vegetarian,high protein,spicy,Thai,dairy,high,urban,easy,19,humid,dinner,low,Green Curry with Veggies
non-vegetarian,low fat,umami,Indian,none,high,rural,heavy,58,cold,dinner,low,Mixed Veg Bowl
vegetarian,low carb,sweet,Thai,dairy,high,suburban,heavy,35,cold,dinner,high,Mixed Veg Bowl
non-vegetarian,low carb,savory,Thai,nuts,low,rural,heavy,69,cold,lunch,high,Mixed Veg Bowl
vegan,high protein,umami,Mexican,nuts,medium,suburban,heavy,68,hot,lunch,moderate,Mixed Veg Bowl
vegan,low fat,umami,Thai,none,high,urban,easy,57,sunny,breakfast,moderate,Mixed Veg Bowl
vegetarian,balanced,salty,Thai,nuts,high,rural,heavy,28,hot,lunch,moderate,Mixed Veg Bowl
vegan,low fat,sweet,Mexican,gluten,medium,urban,heavy,46,humid,breakfast,low,Sweet Potato Tacos
vegan,low fat,salty,Indian,nuts,medium,rural,easy,52,humid,dinner,low,Mixed Veg Bowl
vegan,low carb,salty,Thai,dairy,low,urban,heavy,57,humid,lunch,high,Mixed Veg Bowl
vegetarian,low fat,salty,Indian,dairy,high,suburban,moderate,44,sunny,dinner,high,Mixed Veg Bowl
non-vegetarian,high protein,salty,Indian,gluten,medium,urban,moderate,33,hot,breakfast,low,Mixed Veg Bowl
vegetarian,high protein,spicy,Chinese,none,high,urban,easy,24,rainy,lunch,moderate,Mixed Veg Bowl
vegetarian,high protein,spicy,Chinese,dairy,low,rural,moderate,56,rainy,breakfast,moderate,Mixed Veg Bowl
vegan,low carb,spicy,Indian,soy,medium,suburban,heavy,48,sunny,lunch,moderate,Chana Masala
vegan,balanced,umami,Thai,nuts,high,urban,easy,62,humid,lunch,low,Mixed Veg Bowl
vegetarian,low carb,salty,Chinese,soy,medium,rural,heavy,38,cold,breakfast,high,Soy Sauce Noodles
vegetarian,low fat,sweet,Thai,none,medium,suburban,easy,61,cold,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,high protein,spicy,Chinese,nuts,high,suburban,moderate,35,rainy,breakfast,high,Mixed Veg Bowl
non-vegetarian,low fat,savory,Chinese,soy,high,urban,easy,48,humid,lunch,low,Mixed Veg Bowl
vegan,low carb,sweet,Thai,nuts,low,suburban,moderate,47,humid,breakfast,low,Vegan Pad Thai
non-vegetarian,high protein,umami,Indian,gluten,high,suburban,moderate,10,sunny,breakfast,moderate,Mixed Veg Bowl
vegetarian,low carb,umami,Chinese,dairy,medium,rural,heavy,31,humid,dinner,low,Paneer Chili Dry
vegetarian,high protein,sweet,Italian,soy,medium,urban,moderate,66,hot,breakfast,moderate,Mixed Veg Bowl
vegan,balanced,umami,Thai,nuts,medium,suburban,moderate,23,cold,dinner,low,Mixed Veg Bowl
vegetarian,low fat,savory,Indian,nuts,medium,rural,easy,30,cold,dinner,high,Mixed Veg Bowl
vegetarian,low fat,salty,Indian,soy,high,suburban,heavy,22,humid,breakfast,low,Mixed Veg Bowl
non-vegetarian,low carb,savory,Italian,none,medium,suburban,moderate,18,rainy,breakfast,moderate,Spaghetti Bolognese
non-vegetarian,high protein,salty,Thai,none,low,suburban,heavy,14,sunny,lunch,moderate,Salted Fish Fried Rice
vegetarian,low carb,savory,Mexican,gluten,low,urban,easy,52,rainy,lunch,low,Mixed Veg Bowl
vegan,balanced,salty,Indian,dairy,high,suburban,moderate,46,sunny,lunch,high,Mixed Veg Bowl
vegan,high protein,umami,Mexican,none,medium,urban,heavy,12,humid,lunch,low,Mixed Veg Bowl
vegan,high protein,spicy,Italian,none,low,rural,moderate,61,cold,breakfast,low,Mixed Veg Bowl
non-vegetarian,balanced,salty,Italian,nuts,high,rural,moderate,30,humid,breakfast,moderate,Anchovy Pizza
vegetarian,low fat,umami,Indian,dairy,medium,urban,moderate,64,sunny,dinner,low,Mixed Veg Bowl
non-vegetarian,low carb,savory,Thai,none,medium,rural,easy,54,humid,lunch,low,Mixed Veg Bowl
vegetarian,low carb,umami,Mexican,gluten,low,suburban,heavy,13,humid,lunch,moderate,Mixed Veg Bowl
vegan,high protein,spicy,Mexican,gluten,low,rural,easy,33,rainy,lunch,low,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Italian,soy,high,rural,heavy,36,humid,dinner,moderate,Mixed Veg Bowl
non-vegetarian,high protein,spicy,Italian,dairy,high,urban,easy,60,cold,lunch,low,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Italian,soy,low,rural,heavy,45,humid,breakfast,high,Mixed Veg Bowl
vegetarian,low carb,savory,Chinese,gluten,low,rural,moderate,35,hot,lunch,high,Mixed Veg Bowl
non-vegetarian,low carb,umami,Mexican,gluten,medium,suburban,moderate,33,hot,lunch,moderate,Mixed Veg Bowl
vegetarian,low carb,umami,Italian,dairy,high,urban,heavy,37,cold,dinner,low,Mixed Veg Bowl
non-vegetarian,high protein,savory,Thai,soy,medium,urban,easy,67,rainy,breakfast,moderate,Mixed Veg Bowl
vegetarian,low fat,spicy,Mexican,nuts,low,urban,easy,37,sunny,lunch,moderate,Spicy Bean Enchiladas
vegan,high protein,umami,Indian,soy,high,rural,easy,61,rainy,lunch,low,Mixed Veg Bowl
non-vegetarian,balanced,umami,Indian,nuts,medium,suburban,moderate,68,sunny,lunch,high,Mixed Veg Bowl
vegan,balanced,spicy,Italian,none,low,suburban,moderate,64,humid,lunch,low,Mixed Veg Bowl
vegetarian,high protein,savory,Thai,nuts,low,urban,easy,14,rainy,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Chinese,nuts,low,rural,moderate,10,hot,dinner,low,Mixed Veg Bowl
vegan,high protein,umami,Italian,nuts,high,rural,moderate,13,hot,breakfast,low,Mushroom Risotto
vegetarian,low carb,sweet,Indian,soy,low,suburban,heavy,56,sunny,lunch,high,Kesari Bath
vegetarian,low carb,spicy,Italian,gluten,medium,suburban,heavy,60,rainy,lunch,low,Mixed Veg Bowl
vegan,low fat,sweet,Mexican,gluten,high,rural,heavy,45,sunny,dinner,moderate,Vegan Churros
vegan,low carb,umami,Italian,nuts,low,rural,moderate,66,humid,breakfast,low,Mushroom Risotto
vegan,balanced,spicy,Mexican,dairy,high,rural,heavy,10,humid,dinner,moderate,Mixed Veg Bowl
vegan,high protein,sweet,Italian,nuts,medium,rural,heavy,54,cold,breakfast,low,Mixed Veg Bowl
vegetarian,low fat,spicy,Italian,dairy,high,rural,moderate,11,cold,breakfast,high,Mixed Veg Bowl
vegan,low fat,sweet,Thai,nuts,low,suburban,heavy,25,rainy,lunch,high,Vegan Pad Thai
non-vegetarian,low carb,spicy,Indian,gluten,low,rural,moderate,49,rainy,dinner,high,Fish Curry
vegan,low carb,umami,Mexican,gluten,low,rural,moderate,24,hot,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low fat,salty,Italian,gluten,low,urban,moderate,65,humid,lunch,low,Anchovy Pizza
non-vegetarian,low carb,umami,Indian,nuts,low,urban,heavy,46,rainy,dinner,high,Mixed Veg Bowl
vegetarian,high protein,umami,Thai,soy,low,urban,moderate,23,sunny,breakfast,high,Mixed Veg Bowl
vegetarian,balanced,umami,Thai,nuts,high,urban,easy,28,hot,breakfast,high,Mixed Veg Bowl
non-vegetarian,high protein,spicy,Indian,nuts,high,rural,heavy,30,humid,breakfast,moderate,Chicken Biryani
vegan,low fat,savory,Indian,soy,low,rural,moderate,64,humid,lunch,high,Mixed Veg Bowl
vegan,low fat,umami,Mexican,nuts,medium,rural,heavy,12,cold,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low fat,salty,Thai,nuts,low,suburban,heavy,47,hot,breakfast,low,Shrimp Satay
vegetarian,high protein,savory,Thai,soy,low,urban,moderate,56,sunny,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low fat,savory,Thai,none,medium,urban,moderate,45,rainy,dinner,low,Mixed Veg Bowl
vegan,low carb,spicy,Thai,none,low,rural,heavy,42,hot,dinner,high,Mixed Veg Bowl
vegetarian,low fat,sweet,Mexican,soy,high,rural,easy,37,sunny,breakfast,high,Choco Tacos
vegan,high protein,sweet,Indian,gluten,medium,rural,easy,65,cold,lunch,low,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Thai,nuts,medium,rural,heavy,54,rainy,breakfast,high,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Indian,nuts,low,rural,easy,15,humid,dinner,high,Mixed Veg Bowl
vegan,balanced,spicy,Thai,nuts,low,rural,easy,31,hot,lunch,moderate,Mixed Veg Bowl
vegan,high protein,umami,Italian,nuts,low,suburban,moderate,63,hot,lunch,moderate,Roasted Veggie Lasagna
vegetarian,balanced,savory,Italian,none,low,urban,easy,10,rainy,dinner,moderate,Pasta Alfredo
vegetarian,low fat,savory,Thai,nuts,medium,suburban,heavy,10,hot,lunch,moderate,Mixed Veg Bowl
vegetarian,high protein,sweet,Chinese,nuts,high,rural,easy,51,rainy,dinner,low,Mixed Veg Bowl
vegetarian,balanced,spicy,Thai,gluten,high,urban,moderate,25,humid,dinner,low,Green Curry with Veggies
vegan,low carb,salty,Chinese,none,medium,urban,easy,64,hot,lunch,low,Stir Fried Tofu with Veggies
vegetarian,balanced,salty,Indian,none,high,urban,heavy,45,humid,breakfast,high,Mixed Veg Bowl
non-vegetarian,balanced,spicy,Mexican,none,low,urban,heavy,59,sunny,lunch,low,Hot Salsa Burrito
non-vegetarian,low carb,salty,Indian,soy,medium,urban,moderate,28,humid,lunch,high,Mixed Veg Bowl
non-vegetarian,low carb,salty,Indian,dairy,medium,suburban,moderate,48,humid,lunch,low,Mixed Veg Bowl
vegan,balanced,spicy,Mexican,soy,low,suburban,moderate,45,rainy,dinner,moderate,Mixed Veg Bowl
vegetarian,high protein,umami,Chinese,nuts,low,suburban,easy,21,rainy,dinner,high,Vegetable Manchurian
vegetarian,balanced,spicy,Mexican,gluten,low,rural,easy,68,rainy,breakfast,high,Spicy Bean Enchiladas
non-vegetarian,low fat,umami,Chinese,soy,high,rural,easy,68,cold,dinner,low,Sweet and Sour Pork
non-vegetarian,high protein,sweet,Mexican,dairy,high,suburban,moderate,39,cold,lunch,moderate,Mixed Veg Bowl
vegetarian,low fat,umami,Chinese,gluten,low,urban,moderate,54,rainy,dinner,moderate,Paneer Chili Dry
non-vegetarian,low carb,spicy,Mexican,none,medium,urban,heavy,17,sunny,breakfast,high,Hot Salsa Burrito
vegan,low fat,umami,Mexican,soy,medium,suburban,moderate,58,rainy,breakfast,high,Mixed Veg Bowl
non-vegetarian,balanced,savory,Mexican,nuts,low,rural,easy,46,sunny,dinner,low,Chicken Quesadilla
vegetarian,high protein,salty,Indian,none,high,urban,heavy,24,hot,dinner,high,Mixed Veg Bowl
vegetarian,low carb,sweet,Chinese,gluten,medium,rural,moderate,21,humid,dinner,low,Mixed Veg Bowl
vegetarian,high protein,spicy,Italian,soy,low,suburban,easy,22,humid,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low fat,salty,Chinese,soy,high,suburban,easy,69,humid,breakfast,high,Mixed Veg Bowl
vegetarian,low fat,spicy,Thai,gluten,medium,suburban,easy,26,hot,dinner,moderate,Spicy Thai Noodles
vegetarian,high protein,umami,Mexican,dairy,low,suburban,easy,15,sunny,breakfast,high,Mixed Veg Bowl
vegetarian,high protein,spicy,Thai,nuts,low,urban,moderate,47,humid,breakfast,low,Spicy Thai Noodles
non-vegetarian,balanced,sweet,Chinese,gluten,low,suburban,heavy,26,cold,lunch,low,Mixed Veg Bowl
vegan,balanced,salty,Indian,nuts,high,urban,easy,48,hot,lunch,low,Mixed Veg Bowl
vegan,balanced,umami,Mexican,dairy,high,suburban,heavy,41,sunny,breakfast,high,Mixed Veg Bowl
vegan,low carb,umami,Chinese,gluten,high,rural,heavy,36,hot,lunch,low,Mixed Veg Bowl
vegan,high protein,sweet,Thai,nuts,low,suburban,moderate,60,cold,breakfast,high,Vegan Pad Thai
vegetarian,high protein,umami,Thai,nuts,low,rural,heavy,20,cold,lunch,low,Mixed Veg Bowl
vegan,balanced,savory,Chinese,gluten,medium,urban,moderate,57,hot,breakfast,high,Mixed Veg Bowl
vegan,low carb,umami,Chinese,dairy,low,rural,easy,34,hot,breakfast,low,Mixed Veg Bowl
vegan,balanced,umami,Thai,gluten,high,urban,heavy,60,cold,dinner,moderate,Mixed Veg Bowl
vegetarian,low carb,savory,Mexican,dairy,high,rural,moderate,56,sunny,dinner,high,Mixed Veg Bowl
vegetarian,high protein,umami,Chinese,none,high,suburban,heavy,13,hot,breakfast,high,Paneer Chili Dry
vegan,low fat,savory,Indian,none,low,rural,easy,56,hot,dinner,low,Mixed Veg Bowl
non-vegetarian,high protein,salty,Thai,nuts,medium,rural,moderate,56,rainy,breakfast,high,Shrimp Satay
vegan,low carb,salty,Thai,nuts,low,suburban,easy,40,sunny,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low carb,savory,Chinese,soy,high,urban,moderate,38,cold,dinner,moderate,Mixed Veg Bowl
vegan,balanced,savory,Indian,none,high,rural,easy,51,cold,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low carb,savory,Indian,gluten,medium,urban,easy,21,cold,lunch,low,Mixed Veg Bowl
vegan,low carb,umami,Thai,gluten,medium,suburban,heavy,20,sunny,dinner,moderate,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Thai,nuts,medium,suburban,heavy,24,hot,dinner,low,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Mexican,soy,medium,suburban,moderate,44,hot,lunch,moderate,Hot Salsa Burrito
non-vegetarian,low carb,savory,Mexican,nuts,medium,suburban,moderate,51,cold,breakfast,high,Beef Burrito
non-vegetarian,low fat,sweet,Chinese,none,low,urban,heavy,69,cold,lunch,low,Mixed Veg Bowl
non-vegetarian,high protein,umami,Mexican,gluten,low,rural,easy,27,cold,lunch,moderate,Mixed Veg Bowl
vegan,balanced,spicy,Thai,none,low,urban,heavy,50,sunny,breakfast,high,Mixed Veg Bowl
vegetarian,low carb,savory,Mexican,gluten,high,suburban,moderate,16,sunny,dinner,high,Mixed Veg Bowl
non-vegetarian,high protein,spicy,Italian,none,medium,rural,moderate,44,rainy,breakfast,low,Mixed Veg Bowl
vegan,low fat,sweet,Indian,soy,medium,urban,heavy,33,cold,lunch,low,Mixed Veg Bowl
vegetarian,low carb,spicy,Thai,soy,high,rural,moderate,37,humid,lunch,moderate,Green Curry with Veggies
vegan,low fat,salty,Thai,soy,medium,rural,heavy,69,hot,dinner,moderate,Mixed Veg Bowl
vegan,low carb,salty,Italian,dairy,medium,suburban,moderate,11,hot,breakfast,high,Mixed Veg Bowl
non-vegetarian,low fat,salty,Chinese,gluten,low,urban,easy,21,cold,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low carb,salty,Indian,dairy,high,urban,heavy,50,sunny,breakfast,moderate,Mixed Veg Bowl
vegan,low carb,spicy,Chinese,gluten,high,urban,moderate,38,cold,dinner,moderate,Mixed Veg Bowl
vegan,balanced,savory,Indian,none,high,urban,moderate,43,rainy,lunch,high,Mixed Veg Bowl
vegetarian,balanced,umami,Italian,dairy,low,rural,moderate,69,hot,dinner,moderate,Mixed Veg Bowl
non-vegetarian,balanced,savory,Mexican,dairy,low,rural,easy,67,sunny,lunch,low,Beef Burrito
vegan,low carb,savory,Indian,nuts,medium,urban,heavy,24,hot,lunch,low,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Chinese,gluten,medium,suburban,easy,13,cold,breakfast,high,Mixed Veg Bowl
vegetarian,low carb,spicy,Indian,gluten,medium,rural,easy,25,humid,breakfast,moderate,Veg Biryani
vegetarian,low carb,umami,Mexican,dairy,low,rural,easy,15,humid,dinner,moderate,Mixed Veg Bowl
vegetarian,high protein,sweet,Italian,none,low,suburban,easy,28,sunny,lunch,moderate,Mixed Veg Bowl
vegetarian,low carb,umami,Mexican,dairy,medium,urban,moderate,20,hot,dinner,low,Mixed Veg Bowl
vegetarian,high protein,spicy,Thai,dairy,high,urban,heavy,66,rainy,breakfast,moderate,Spicy Thai Noodles
vegan,balanced,sweet,Chinese,nuts,high,rural,easy,45,humid,breakfast,moderate,Lychee Stir Fry
vegan,high protein,spicy,Mexican,none,high,rural,heavy,50,humid,lunch,high,Mixed Veg Bowl
non-vegetarian,high protein,spicy,Mexican,nuts,medium,urban,heavy,67,hot,dinner,high,Spicy Chicken Enchiladas
vegetarian,high protein,spicy,Indian,nuts,low,urban,moderate,58,rainy,lunch,moderate,Rajma Chawal
vegan,balanced,umami,Thai,gluten,high,rural,moderate,44,humid,dinner,moderate,Mixed Veg Bowl
vegetarian,high protein,umami,Thai,gluten,high,suburban,moderate,66,sunny,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,low carb,salty,Chinese,gluten,high,rural,easy,18,hot,lunch,high,Mixed Veg Bowl
vegetarian,low carb,salty,Indian,none,high,urban,moderate,11,rainy,dinner,high,Mixed Veg Bowl
non-vegetarian,balanced,savory,Indian,nuts,low,suburban,heavy,21,cold,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low fat,salty,Italian,soy,medium,urban,easy,54,rainy,dinner,high,Anchovy Pizza
vegetarian,low fat,umami,Chinese,nuts,high,urban,heavy,14,cold,breakfast,moderate,Vegetable Manchurian
vegetarian,low carb,sweet,Italian,dairy,low,rural,easy,13,rainy,dinner,low,Mixed Veg Bowl
vegetarian,high protein,salty,Italian,gluten,high,rural,moderate,37,humid,dinner,high,Mixed Veg Bowl
vegan,high protein,sweet,Italian,soy,high,suburban,heavy,22,hot,breakfast,high,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Indian,dairy,medium,urban,easy,19,cold,dinner,low,Mixed Veg Bowl
non-vegetarian,balanced,salty,Italian,nuts,medium,urban,easy,58,sunny,dinner,moderate,Anchovy Pizza
non-vegetarian,balanced,spicy,Chinese,gluten,high,suburban,heavy,26,humid,dinner,moderate,Mixed Veg Bowl
non-vegetarian,balanced,sweet,Italian,soy,high,urban,easy,35,rainy,dinner,low,Mixed Veg Bowl
non-vegetarian,low carb,spicy,Italian,dairy,high,rural,moderate,26,rainy,dinner,high,Mixed Veg Bowl
vegetarian,low carb,savory,Italian,nuts,high,rural,easy,64,sunny,lunch,low,Pasta Alfredo
non-vegetarian,low fat,umami,Mexican,none,low,urban,moderate,45,hot,lunch,moderate,Mixed Veg Bowl
vegan,high protein,sweet,Thai,dairy,low,suburban,moderate,22,hot,dinner,high,Vegan Pad Thai
vegetarian,low carb,sweet,Thai,dairy,medium,urban,moderate,12,humid,dinner,high,Mixed Veg Bowl
vegan,low fat,savory,Indian,nuts,medium,suburban,heavy,29,sunny,breakfast,moderate,Mixed Veg Bowl
vegetarian,balanced,umami,Indian,dairy,low,rural,easy,16,sunny,lunch,high,Mixed Veg Bowl
non-vegetarian,balanced,umami,Mexican,none,low,urban,easy,10,cold,lunch,low,Mixed Veg Bowl
vegetarian,balanced,savory,Indian,none,low,suburban,easy,16,hot,dinner,moderate,Mixed Veg Bowl
vegan,high protein,spicy,Indian,soy,high,suburban,heavy,43,rainy,lunch,moderate,Baingan Bharta
vegan,low fat,sweet,Indian,gluten,medium,urban,easy,61,rainy,lunch,high,Mixed Veg Bowl
vegetarian,low carb,umami,Chinese,soy,medium,suburban,moderate,35,rainy,dinner,moderate,Paneer Chili Dry
vegan,low fat,umami,Thai,none,high,rural,easy,44,hot,lunch,low,Mixed Veg Bowl
non-vegetarian,high protein,savory,Mexican,soy,high,suburban,easy,54,rainy,dinner,moderate,Beef Burrito
vegan,high protein,sweet,Italian,none,medium,urban,moderate,57,rainy,dinner,moderate,Mixed Veg Bowl
vegan,low fat,salty,Indian,gluten,low,suburban,easy,35,hot,breakfast,low,Mixed Veg Bowl
vegan,low carb,spicy,Chinese,gluten,high,urban,heavy,16,rainy,lunch,high,Mixed Veg Bowl
non-vegetarian,balanced,salty,Thai,nuts,medium,urban,heavy,28,cold,lunch,low,Shrimp Satay
non-vegetarian,low carb,savory,Italian,gluten,medium,urban,moderate,14,sunny,dinner,moderate,Chicken Lasagna
vegetarian,low fat,savory,Indian,gluten,medium,rural,heavy,33,humid,lunch,moderate,Mixed Veg Bowl
vegetarian,high protein,umami,Chinese,dairy,medium,suburban,easy,36,hot,breakfast,moderate,Vegetable Manchurian
non-vegetarian,balanced,spicy,Mexican,gluten,medium,suburban,moderate,66,sunny,lunch,moderate,Hot Salsa Burrito
vegan,low fat,umami,Thai,none,low,suburban,moderate,19,sunny,lunch,moderate,Mixed Veg Bowl
vegetarian,low fat,salty,Thai,dairy,medium,suburban,moderate,27,cold,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,low carb,umami,Chinese,none,high,urban,easy,37,humid,lunch,high,Kung Pao Chicken
vegan,low carb,sweet,Mexican,none,high,rural,heavy,44,cold,lunch,moderate,Vegan Churros
vegan,low carb,umami,Indian,soy,medium,urban,heavy,43,rainy,breakfast,high,Mixed Veg Bowl
vegetarian,low fat,sweet,Italian,gluten,high,rural,heavy,27,sunny,dinner,low,Mixed Veg Bowl
vegetarian,low fat,spicy,Chinese,nuts,low,suburban,heavy,11,humid,lunch,low,Mixed Veg Bowl
non-vegetarian,low fat,umami,Mexican,none,low,rural,easy,43,humid,lunch,moderate,Mixed Veg Bowl
non-vegetarian,balanced,salty,Indian,dairy,medium,urban,heavy,50,humid,dinner,low,Mixed Veg Bowl
vegetarian,balanced,savory,Italian,none,low,rural,moderate,60,sunny,dinner,high,Pasta Alfredo
vegetarian,low fat,salty,Thai,nuts,high,rural,moderate,50,cold,lunch,moderate,Mixed Veg Bowl
vegan,high protein,sweet,Italian,nuts,low,suburban,heavy,59,sunny,dinner,moderate,Mixed Veg Bowl
vegetarian,high protein,spicy,Mexican,soy,medium,rural,easy,48,cold,breakfast,moderate,Vegetarian Tacos
vegetarian,high protein,sweet,Thai,dairy,low,suburban,moderate,68,sunny,breakfast,high,Mixed Veg Bowl
vegetarian,low carb,salty,Chinese,nuts,high,urban,moderate,10,rainy,dinner,moderate,Soy Sauce Noodles
non-vegetarian,low fat,umami,Thai,gluten,high,suburban,heavy,51,cold,breakfast,high,Mixed Veg Bowl
vegetarian,low carb,sweet,Mexican,soy,low,suburban,heavy,69,cold,lunch,moderate,Choco Tacos
vegan,low carb,salty,Italian,gluten,low,urban,moderate,28,hot,dinner,low,Mixed Veg Bowl
vegetarian,balanced,sweet,Thai,none,high,suburban,moderate,56,sunny,dinner,moderate,Mixed Veg Bowl
vegan,low carb,savory,Indian,gluten,low,rural,heavy,17,hot,breakfast,moderate,Mixed Veg Bowl
vegetarian,low carb,umami,Thai,none,low,rural,easy,46,sunny,breakfast,high,Mixed Veg Bowl
vegetarian,low carb,salty,Indian,gluten,medium,rural,easy,39,sunny,dinner,moderate,Mixed Veg Bowl
vegan,balanced,savory,Thai,none,low,rural,heavy,38,sunny,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Thai,nuts,medium,urban,heavy,61,sunny,dinner,high,Mixed Veg Bowl
vegan,low fat,sweet,Indian,gluten,high,suburban,easy,51,cold,breakfast,moderate,Mixed Veg Bowl
vegetarian,low carb,spicy,Indian,dairy,high,urban,moderate,23,rainy,breakfast,moderate,Paneer Butter Masala
non-vegetarian,high protein,savory,Indian,soy,low,suburban,heavy,14,humid,lunch,moderate,Mixed Veg Bowl
vegan,low fat,umami,Thai,none,medium,urban,heavy,15,cold,lunch,low,Mixed Veg Bowl
vegan,balanced,spicy,Thai,dairy,low,urban,easy,64,sunny,breakfast,low,Mixed Veg Bowl
non-vegetarian,balanced,umami,Thai,nuts,high,urban,heavy,27,sunny,lunch,high,Mixed Veg Bowl
vegetarian,low carb,savory,Mexican,soy,high,suburban,heavy,52,cold,breakfast,moderate,Mixed Veg Bowl
vegan,low carb,umami,Mexican,nuts,low,rural,moderate,20,humid,lunch,high,Mixed Veg Bowl
vegetarian,high protein,salty,Chinese,nuts,high,rural,moderate,56,humid,lunch,low,Cabbage Stir Fry
non-vegetarian,low fat,savory,Thai,none,high,suburban,heavy,48,rainy,breakfast,high,Mixed Veg Bowl
vegetarian,low carb,spicy,Thai,gluten,medium,suburban,heavy,34,rainy,breakfast,low,Spicy Thai Noodles
vegetarian,high protein,spicy,Thai,gluten,low,rural,easy,45,sunny,lunch,moderate,Spicy Thai Noodles
